2018-10-16 22:20:20 [ INFO] - HttpTools  -test111
2018-10-16 22:21:54 [ INFO] - HttpTools  -百度首页
2018-10-16 22:21:55 [ INFO] - HttpTools  -查询快递
2018-10-16 22:21:56 [ INFO] - HttpTools  -用户中心
2018-10-16 22:34:43 [ INFO] - HttpTools  -百度首页
2018-10-16 22:34:44 [ INFO] - HttpTools  -查询快递
2018-10-16 22:34:45 [ INFO] - HttpTools  -用户中心
2018-10-16 22:35:47 [ INFO] - HttpTools  -百度首页
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:35:48 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@2f4854d6
2018-10-16 22:35:48 [ INFO] - HttpTools  -查询快递
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:35:48 [ INFO] - HttpTools  -断言数据列表:["message","0"]
2018-10-16 22:35:48 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@200a26bc
2018-10-16 22:35:48 [ INFO] - HttpTools  -用户中心
2018-10-16 22:35:50 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:35:50 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:35:50 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:35:50 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:36:10 [ INFO] - HttpTools  -A
2018-10-16 22:36:11 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:36:11 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:36:11 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:37:16 [ INFO] - HttpTools  -百度首页
2018-10-16 22:37:17 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:37:17 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:37:17 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:37:18 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@7cc586a8
2018-10-16 22:37:18 [ INFO] - HttpTools  -查询快递
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言数据列表:["message","0"]
2018-10-16 22:37:19 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@5910de75
2018-10-16 22:37:19 [ INFO] - HttpTools  -用户中心
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:37:19 [ INFO] - HttpTools  -断言数据列表:["hasnew","false"]
2018-10-16 22:37:20 [ INFO] - HttpTools  -响应解析的值:false
2018-10-16 22:39:36 [ INFO] - HttpTools  -百度首页
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言数据列表:["errCode","0"]
2018-10-16 22:39:37 [ INFO] - HttpTools  -响应解析的值:io.restassured.path.xml.XmlPath@2f4854d6
2018-10-16 22:39:37 [ INFO] - HttpTools  -查询快递
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言接口状态码
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言类型:eq
2018-10-16 22:39:37 [ INFO] - HttpTools  -断言数据列表:["message","ok"]
